p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene
7.272450214581679e-288,0.9576688667765358,0.215,0.093,1.8973095364822142e-283,ATOH8
4.222239610418897e-280,0.8838026640805063,0.157,0.055,1.101540091962186e-275,LINC02432
9.543233945967963e-278,0.5247740775158714,0.571,0.408,2.4897343041635817e-273,HAMP
3.58680141522233e-267,0.6969141220723445,0.177,0.069,9.357606212173536e-263,ARL17B
5.662508742341596e-265,-0.7580111981321683,0.205,0.353,1.4772919057894988e-260,HS6ST1
1.429864267500727e-261,-1.1922860581285866,0.035,0.133,3.730372887482647e-257,TIMP3
1.725045002819518e-260,-0.9095965548561771,0.033,0.131,4.50046990785584e-256,AC098850.3
2.0594155219255933e-258,0.3910174061099113,0.755,0.622,5.3728091551516806e-254,FGD4
1.594871374622301e-256,-0.7769973724311301,0.148,0.286,4.1608599292521213e-252,ARSB
3.0861652392832824e-248,0.3326002391473454,0.902,0.816,8.051496492766156e-244,ZC3H13
5.964115060363102e-247,0.8149466176239462,0.184,0.078,1.5559779780981297e-242,BICDL1
6.598774704877481e-247,0.9268709457014417,0.18,0.077,1.7215543327554862e-242,AC004593.1
1.141146571266714e-245,-0.7667857454282152,0.233,0.371,2.9771372897777302e-241,SLC22A10
1.1939057036445088e-244,-0.5368028175467561,0.447,0.582,3.114780590238159e-240,AC243964.2
5.217288125301754e-240,0.32921022564279134,0.842,0.736,1.3611382990099744e-235,ADH1B
3.357839007019068e-238,0.7109876272637772,0.161,0.063,8.760266185412047e-234,AC016687.3
3.248723155670479e-237,-0.9030024012276221,0.042,0.139,8.475593840828712e-233,ITGB1-DT
4.617450768211038e-235,-0.3449051915522601,0.67,0.755,1.2046467309185777e-230,LINC02532
6.106680459321671e-235,-0.844375917842191,0.252,0.38,1.5931718650324307e-230,ATP2B4
8.096210372185637e-234,-0.8238726994692416,0.053,0.156,2.112220323999511e-229,LINC01252
5.625991483566765e-233,0.9436837300507233,0.161,0.065,1.4677649181477332e-228,IP6K3
4.900454447881438e-229,-0.29055233156945004,0.774,0.876,1.2784795609077884e-224,FGG
8.250454957363373e-229,0.5423012240248615,0.53,0.382,2.1524611938265303e-224,AP003555.3
4.3017477017725034e-225,-0.8658785577892267,0.026,0.109,1.1222829579154284e-220,FOS
4.016308885041327e-224,0.7263580153990712,0.181,0.08,1.0478148250184318e-219,CES3
9.260191553570856e-223,-0.7150336887635735,0.239,0.372,2.4158913744111004e-218,LRP1B
5.615692160214367e-222,-0.8896672284686451,0.19,0.31,1.4650779276783262e-217,CYP3A43
1.717662420110277e-215,-0.5617203298793376,0.403,0.526,4.481209487825701e-211,BACH2
1.5110341653438911e-214,-0.31950866196437555,0.741,0.825,3.942137033965678e-210,BDH1
1.1084496023344784e-213,0.6014447517649959,0.376,0.241,2.8918341675304205e-209,SLC15A1
9.597484033560996e-209,0.3939866887274054,0.737,0.615,2.503887609515728e-204,GPAM
1.2702715164929356e-208,0.6696171546360434,0.212,0.105,3.3140113593784196e-204,AC002066.1
2.9585563202321713e-208,-0.7406205314651335,0.154,0.275,7.718577583853711e-204,OSGIN1
1.489443215102389e-206,0.6491255255760455,0.249,0.134,3.885808403880623e-202,SULF2
1.6321498031998692e-205,-0.5741224151081608,0.269,0.406,4.2581156215681384e-201,ANGPTL4
8.122318918960604e-205,0.42613606584824093,0.711,0.582,2.119031782767632e-200,ENOSF1
2.5366325442376493e-202,0.6036537676472706,0.394,0.261,6.617820644661603e-198,ASB13
1.966242390012986e-201,-0.7753782443695438,0.069,0.168,5.129729771304879e-197,ACTB
1.977153078556292e-200,-0.6451320547040866,0.13,0.249,5.158194666645511e-196,FAM184A
1.117450240170952e-199,0.849218118176865,0.164,0.074,2.915315931581997e-195,MOGAT3
1.2954773500162456e-199,0.5427333835360297,0.355,0.223,3.3797708584573833e-195,PIEZO2
3.531729197518497e-199,-0.3137156090695349,0.675,0.759,9.213928303406007e-195,PATJ
1.276530037559083e-198,-0.24950340957032757,0.817,0.886,3.330339214987891e-194,FGGY
7.06593412157466e-198,0.845198419408172,0.209,0.108,1.843431552977613e-193,AC096577.1
1.2553752041937489e-196,-0.3902485680684752,0.481,0.61,3.2751483702210716e-192,A1BG
2.4047504292915893e-196,0.5122306249049767,0.371,0.235,6.273753394978828e-192,SNX10
3.359675672863855e-196,0.8002902261899054,0.202,0.103,8.765057862934511e-192,UPP2
9.87435263604735e-196,-0.8309724902483944,0.057,0.149,2.5761198592183933e-191,KCNJ3
3.1708428220763427e-195,-0.4777781143224139,0.378,0.507,8.27241183851497e-191,ARHGEF28
3.431457680217045e-195,0.2096939458931577,0.916,0.852,8.952329941918248e-191,ADRA1A
2.0350713744123027e-194,-0.8618860603734904,0.051,0.14,5.309297708704256e-190,OAT
1.1557871069745549e-193,-0.7290644759335954,0.071,0.17,3.0153329833859163e-189,CYP21A2
