p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene
1.990697412702901e-68,0.18018135450347805,0.451,0.371,5.193530480000598e-64,JAK1
2.2731039137321256e-68,0.30523573096042345,0.108,0.066,5.930300800535742e-64,COPG2
2.6039595697404386e-68,0.27589430768099765,0.18,0.126,6.79347012149583e-64,HIST1H2AC
3.164826920853772e-68,0.30818869352473754,0.166,0.115,8.256716953815406e-64,GSTO1
4.3570016244596925e-68,-0.3941171575096666,0.253,0.308,1.1366981538052891e-63,SLC2A10
4.639199788040894e-68,-0.4866314523026105,0.067,0.106,1.2103208327019888e-63,AL356056.2
6.750130613529891e-68,-0.30144363176040123,0.357,0.416,1.7610415757638134e-63,CDA
7.691855786636164e-68,0.16351112160444492,0.565,0.482,2.006728256175509e-63,KANK1
7.701609787751434e-68,0.3191029356760269,0.142,0.094,2.0092729775264716e-63,DDT
7.94848995708469e-68,0.1923424057449935,0.355,0.28,2.0736815449038246e-63,LYPLAL1
8.075823111749678e-68,0.29444827100664583,0.188,0.134,2.1069014916243733e-63,MGST3
8.140594532852019e-68,0.15206489298315387,0.559,0.471,2.1237997076757633e-63,UBR5
8.88863613279111e-68,0.26517274596494667,0.162,0.111,2.3189562806838726e-63,PUDP
1.0786855635221236e-67,-0.2811634489618526,0.362,0.425,2.814182766672868e-63,AC068533.4
1.1707042164368803e-67,0.31868682750227206,0.157,0.108,3.0542502302621767e-63,FH
1.5874610838259117e-67,-0.08786927339115802,0.86,0.833,4.141527221593421e-63,PID1
1.6499987727419603e-67,0.21469945499191656,0.29,0.223,4.3046817982065e-63,PIEZO2
1.8132709668023607e-67,0.33148320959282174,0.125,0.081,4.730642625290679e-63,GAPDH
1.845241504338352e-67,-0.33546788052581755,0.29,0.347,4.814050560668326e-63,ACOX2
2.2597345879094688e-67,0.18743492614816315,0.386,0.308,5.895421566397013e-63,AK4
2.3224556232036612e-67,-0.48830724254086233,0.079,0.121,6.059054475376031e-63,SLC2A14
2.4277168568003888e-67,0.3346901117640684,0.264,0.204,6.333670507706534e-63,APOE
2.4610331378928975e-67,0.2457760201742738,0.299,0.233,6.420589353448781e-63,WASL
2.8408029397468246e-67,-0.22887598864370912,0.533,0.583,7.411370789505491e-63,TENM1
3.7122936489646743e-67,0.22459547855542775,0.585,0.538,9.685002900783938e-63,HAL
3.9965880931432455e-67,0.17266850000496128,0.569,0.488,1.0426698676201414e-62,ELF1
4.976491064903975e-67,0.24538470458994066,0.321,0.253,1.298316753922798e-62,MTR
5.404010945056957e-67,0.1750095775407025,0.518,0.437,1.4098524154559096e-62,RFX7
6.493521388743822e-67,0.18100236301392364,0.587,0.504,1.6940947951093757e-62,MAP3K20
6.753145981993863e-67,-0.4018490241794934,0.088,0.133,1.7618282552423788e-62,PPM1E
7.507108289250457e-67,0.16961456518072915,0.383,0.308,1.9585294815825517e-62,MYH14
7.920343862426267e-67,-0.5364334186456414,0.105,0.15,2.066338510268389e-62,KNDC1
9.552706559051992e-67,0.14887429582255676,0.626,0.54,2.492205614191074e-62,MAP4K4
1.0091023521617505e-66,0.28994347690331224,0.211,0.155,2.632647126554791e-62,CYSTM1
1.290824123125931e-66,0.2612918811825622,0.186,0.132,3.367631054823241e-62,BCAR3
1.4463388284710892e-66,-0.4598287943996693,0.275,0.328,3.7733533695982247e-62,AP3D1
1.4766440097919247e-66,0.18784041552651187,0.401,0.324,3.8524165571461524e-62,PTPN4
1.5468947082073663e-66,0.30012183756739885,0.108,0.067,4.035693604242198e-62,SERPINA11
1.8738756690554069e-66,0.24963369045961237,0.237,0.177,4.888754232998651e-62,GLRX3
1.887954136975053e-66,0.16245771118716046,0.473,0.392,4.9254835479542155e-62,ZNF516
1.9735379224435063e-66,-0.2952548059710663,0.581,0.608,5.1487630858628635e-62,SCARB1
2.0421523538422038e-66,-0.22418139466045092,0.531,0.575,5.327771275938925e-62,NR3C2
2.482566360845282e-66,-0.33615123577477674,0.364,0.421,6.476767378809256e-62,ECE1
2.5983476645114395e-66,0.28478199780861146,0.189,0.135,6.778829221943894e-62,ACAA2
2.643438974898703e-66,0.7939353221097334,0.149,0.108,6.896467941613226e-62,AC096577.1
2.9229667527524986e-66,0.17661085451384273,0.52,0.44,7.6257279612559935e-62,FAM208B
3.236338341979909e-66,0.2267273049960712,0.186,0.131,8.443283100391385e-62,DNAJC10
3.429160886017203e-66,0.26645095464619595,0.27,0.208,8.94633783553028e-62,GABARAPL1
3.945933859971702e-66,0.21057799885982287,0.446,0.371,1.0294546847280174e-61,PPP2R2A
4.3352167221182085e-66,0.21932116934641388,0.354,0.284,1.1310146906334195e-61,ESCO1
4.885324457321605e-66,0.2136775291301567,0.309,0.242,1.2745322976706336e-61,DPP6
5.230629839230717e-66,0.3106951048028719,0.148,0.1,1.3646190187569017e-61,CNIH1
5.697503130161344e-66,-0.2971607188216443,0.425,0.477,1.4864215916277928e-61,NTN1
6.171972224058965e-66,-0.46050411752680853,0.141,0.191,1.610205833534743e-61,NFIX
6.462786747037645e-66,0.21544911909376185,0.352,0.281,1.6860764344346512e-61,STX18
6.561031023687707e-66,0.19467774216209788,0.472,0.397,1.7117073837698857e-61,PARP4
6.671508779226474e-66,-0.41655593198554075,0.173,0.226,1.7405299254123948e-61,PPL
8.314703903901273e-66,0.17820755313867287,0.473,0.392,2.1692231014888033e-61,METTL15
9.162645338539113e-66,0.18414862463403486,0.471,0.394,2.3904425423714692e-61,GPR39
1.0603479611062579e-65,0.29501313533557627,0.169,0.118,2.7663417957301163e-61,FRMD4A
1.140785770675797e-65,0.1532079920697577,0.694,0.618,2.976195997116087e-61,ZCCHC7
1.1923560177881087e-65,0.3176116936060609,0.142,0.095,3.1107376148073966e-61,XRCC4
1.3294127067454407e-65,0.21112841630015122,0.395,0.324,3.46830481062818e-61,DSP
1.3483600732310392e-65,0.17337253641417738,0.514,0.433,3.517736595052458e-61,COG5
1.5321926690272285e-65,-0.4465010669283134,0.069,0.108,3.9973374542251366e-61,AC021739.2
1.981671118720388e-65,0.31066769521881943,0.179,0.127,5.1699817816296206e-61,KATNAL1
1.9940451261696423e-65,0.15251204076192404,0.608,0.521,5.20226432966398e-61,ABTB2
2.026630272147238e-65,0.2148645038997672,0.424,0.351,5.2872757170049294e-61,DENND4C
2.0457314279186987e-65,0.15279261585230375,0.603,0.516,5.337108722297093e-61,DYM
2.1277821470502546e-65,-0.08960827351907308,0.908,0.893,5.551170843439409e-61,C9orf3
3.5578926190792933e-65,0.2608876876031636,0.285,0.222,9.282186053915968e-61,ZNF654
3.7332355604946896e-65,0.21915408385754487,0.342,0.273,9.739638253774595e-61,R3HCC1L
4.109667887533218e-65,0.2635124622336411,0.206,0.15,1.0721712551785412e-60,SH3BGRL2
4.847436450534494e-65,0.18593083015337797,0.488,0.414,1.264647695579944e-60,RAPGEF1
5.529772872900823e-65,-0.3341727362103084,0.238,0.294,1.4426624448110956e-60,ALDH7A1
5.821150845773793e-65,-0.40445788938063854,0.103,0.149,1.5186800441539248e-60,FNDC4
5.892246347361107e-65,0.25500653078022695,0.211,0.155,1.5372281495630393e-60,KDM5B
6.708492569247371e-65,0.2998046822305289,0.128,0.084,1.7501786263909466e-60,WIPI1
7.685926111687568e-65,0.23833914237828524,0.278,0.214,2.0051812632781695e-60,CPM
9.93998173555567e-65,0.21347237054460694,0.428,0.358,2.593241834989119e-60,SLC2A9
1.0471163899138443e-64,0.24314590560798655,0.241,0.181,2.731821949646228e-60,ATP2C1
1.084803311462325e-64,-0.3062707102329387,0.35,0.409,2.83014335927406e-60,PILRB
1.0929232125339027e-64,-0.33386145067252504,0.208,0.266,2.851327369179699e-60,KLF13
1.3529137889737428e-64,0.20545840029720563,0.407,0.334,3.5296167840535975e-60,POU2F1
1.4272651456516741e-64,-0.4236053554810919,0.147,0.197,3.7235920384906525e-60,RNF165
1.8252044725153697e-64,0.2638606123643772,0.143,0.096,4.761775948345348e-60,PLA2G4C
2.0363864098704228e-64,-0.2790854309631134,0.425,0.479,5.312728504710946e-60,BLNK
2.076172127955738e-64,-0.22614651225225998,0.679,0.701,5.416525464623725e-60,SNRNP70
2.4270948141354468e-64,-0.46557703468049616,0.081,0.122,6.332047660597967e-60,EPHB4
2.4431211094349562e-64,0.13464752832928611,0.713,0.622,6.373858662404857e-60,PHLPP1
2.8214553302661444e-64,0.14017416393888818,0.701,0.619,7.360894811131344e-60,NUMB
2.9529715986587316e-64,0.26557232178421564,0.243,0.184,7.704007603740765e-60,BNIP2
3.241755849645817e-64,-0.3088838447963589,0.268,0.328,8.457416836140972e-60,ZNF69
3.682908083223864e-64,0.30658936346237153,0.134,0.089,9.608338898322739e-60,GPD2
3.99877026040995e-64,0.2639968464226361,0.21,0.153,1.043239173238352e-59,HHAT
4.2154705063691445e-64,-0.4125737414834143,0.213,0.267,1.099774100406646e-59,PRKCZ
4.220170036865197e-64,-0.37526011658749914,0.218,0.274,1.1010001609177613e-59,CGN
4.294178125637315e-64,0.19813343295189767,0.322,0.253,1.1203081311975191e-59,TET3
4.2958488315284036e-64,0.21120220669214895,0.44,0.368,1.1207440016574453e-59,TMEM123
